,Código,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95 y más,Total
117,0200511,498.0,446.0,396.0,427.0,640.0,836.0,916.0,782.0,554.0,509.0,491.0,469.0,442.0,330.0,271.0,254.0,216.0,131.0,40.0,8.0,8656.0
118,0200512,322.0,286.0,261.0,326.0,554.0,597.0,664.0,507.0,408.0,421.0,413.0,424.0,419.0,375.0,290.0,284.0,233.0,150.0,62.0,22.0,7018.0
119,0200513,372.0,329.0,300.0,332.0,516.0,597.0,643.0,576.0,448.0,453.0,450.0,439.0,465.0,391.0,306.0,269.0,261.0,157.0,69.0,29.0,7402.0
120,0200514,395.0,378.0,357.0,393.0,553.0,723.0,759.0,622.0,546.0,484.0,495.0,401.0,478.0,377.0,329.0,319.0,336.0,189.0,87.0,26.0,8247.0
121,0200515,335.0,330.0,334.0,391.0,561.0,641.0,705.0,577.0,488.0,467.0,459.0,447.0,430.0,398.0,318.0,314.0,231.0,158.0,69.0,11.0,7664.0
122,0200516,477.0,472.0,524.0,512.0,662.0,796.0,814.0,750.0,625.0,585.0,561.0,477.0,478.0,400.0,338.0,303.0,244.0,129.0,49.0,21.0,9217.0
123,0200517,456.0,407.0,444.0,500.0,622.0,710.0,735.0,609.0,565.0,579.0,587.0,515.0,485.0,407.0,314.0,295.0,236.0,139.0,57.0,15.0,8677.0
124,0200518,436.0,475.0,419.0,449.0,567.0,704.0,747.0,636.0,564.0,499.0,475.0,524.0,470.0,354.0,305.0,259.0,235.0,162.0,56.0,16.0,8352.0
125,0200519,442.0,447.0,398.0,452.0,607.0,728.0,821.0,695.0,513.0,548.0,600.0,535.0,508.0,417.0,339.0,338.0,261.0,158.0,46.0,11.0,8864.0
126,0200520,622.0,642.0,606.0,655.0,814.0,855.0,849.0,842.0,658.0,668.0,706.0,645.0,515.0,484.0,361.0,304.0,245.0,147.0,53.0,16.0,10687.0
127,0200521,432.0,449.0,444.0,467.0,564.0,673.0,707.0,594.0,503.0,443.0,516.0,457.0,431.0,326.0,285.0,274.0,224.0,143.0,43.0,10.0,7985.0
128,0200522,643.0,675.0,674.0,722.0,870.0,854.0,818.0,896.0,816.0,748.0,741.0,648.0,584.0,450.0,411.0,323.0,302.0,172.0,51.0,20.0,11418.0
129,0200601,523.0,499.0,508.0,550.0,653.0,721.0,781.0,659.0,650.0,648.0,638.0,558.0,434.0,406.0,323.0,293.0,247.0,167.0,69.0,17.0,9344.0
130,0200602,545.0,498.0,532.0,615.0,638.0,718.0,715.0,760.0,620.0,656.0,648.0,600.0,505.0,422.0,318.0,286.0,224.0,126.0,54.0,27.0,9507.0
131,0200603,463.0,440.0,430.0,461.0,621.0,713.0,759.0,677.0,561.0,526.0,555.0,502.0,484.0,411.0,312.0,252.0,208.0,144.0,55.0,20.0,8594.0
132,0200604,457.0,427.0,412.0,464.0,573.0,697.0,726.0,655.0,574.0,554.0,565.0,522.0,474.0,349.0,286.0,278.0,236.0,171.0,75.0,28.0,8523.0
133,0200605,461.0,420.0,382.0,396.0,521.0,794.0,861.0,654.0,587.0,531.0,518.0,575.0,532.0,449.0,375.0,297.0,275.0,174.0,48.0,12.0,8862.0
134,0200606,448.0,346.0,345.0,401.0,581.0,678.0,776.0,699.0,569.0,538.0,534.0,494.0,463.0,416.0,335.0,303.0,316.0,182.0,75.0,18.0,8517.0
135,0200607,507.0,466.0,372.0,457.0,619.0,823.0,969.0,809.0,663.0,589.0,696.0,607.0,567.0,519.0,370.0,297.0,298.0,168.0,70.0,13.0,9879.0
136,0200608,428.0,362.0,350.0,378.0,512.0,793.0,831.0,648.0,526.0,471.0,468.0,487.0,459.0,369.0,281.0,262.0,249.0,170.0,70.0,23.0,8137.0
137,0200609,265.0,265.0,269.0,323.0,510.0,461.0,448.0,415.0,343.0,430.0,460.0,404.0,441.0,396.0,345.0,337.0,285.0,183.0,75.0,24.0,6679.0
138,0200610,399.0,327.0,236.0,312.0,514.0,682.0,769.0,655.0,479.0,430.0,480.0,451.0,479.0,412.0,376.0,322.0,287.0,168.0,70.0,17.0,7865.0
139,0200611,427.0,358.0,303.0,320.0,511.0,634.0,769.0,666.0,482.0,428.0,431.0,433.0,385.0,328.0,288.0,251.0,189.0,108.0,47.0,4.0,7362.0
140,0200612,395.0,356.0,327.0,323.0,467.0,656.0,754.0,611.0,447.0,433.0,462.0,425.0,433.0,351.0,307.0,312.0,272.0,145.0,62.0,9.0,7547.0
141,0200613,422.0,396.0,328.0,374.0,527.0,624.0,780.0,693.0,522.0,494.0,524.0,534.0,554.0,463.0,372.0,301.0,261.0,140.0,55.0,18.0,8382.0
142,0200614,456.0,401.0,369.0,393.0,566.0,691.0,781.0,730.0,573.0,507.0,530.0,502.0,472.0,397.0,320.0,277.0,237.0,107.0,71.0,27.0,8407.0
143,0200615,436.0,440.0,388.0,438.0,580.0,658.0,760.0,735.0,552.0,540.0,545.0,518.0,467.0,380.0,316.0,249.0,250.0,140.0,40.0,18.0,8450.0
144,0200616,666.0,575.0,497.0,478.0,639.0,803.0,999.0,949.0,680.0,700.0,693.0,612.0,670.0,448.0,338.0,309.0,244.0,154.0,54.0,12.0,10520.0
145,0200617,296.0,285.0,225.0,281.0,406.0,574.0,596.0,503.0,361.0,397.0,382.0,406.0,408.0,353.0,347.0,279.0,252.0,143.0,58.0,23.0,6575.0
146,0200618,272.0,281.0,266.0,359.0,519.0,544.0,490.0,490.0,403.0,435.0,509.0,564.0,545.0,434.0,381.0,372.0,356.0,217.0,77.0,28.0,7542.0
147,0200619,375.0,350.0,367.0,403.0,579.0,621.0,660.0,630.0,490.0,511.0,601.0,539.0,547.0,430.0,351.0,349.0,342.0,189.0,63.0,26.0,8423.0
148,0200620,353.0,431.0,326.0,376.0,467.0,582.0,629.0,582.0,522.0,493.0,541.0,478.0,439.0,397.0,310.0,283.0,228.0,145.0,44.0,16.0,7642.0
149,0200621,501.0,486.0,400.0,463.0,643.0,724.0,916.0,747.0,644.0,558.0,599.0,556.0,513.0,391.0,356.0,301.0,278.0,164.0,64.0,15.0,9319.0
150,0200701,490.0,437.0,428.0,436.0,606.0,611.0,577.0,490.0,432.0,395.0,414.0,378.0,362.0,306.0,262.0,217.0,231.0,160.0,64.0,24.0,7320.0
151,0200702,556.0,523.0,551.0,567.0,658.0,604.0,678.0,671.0,533.0,545.0,569.0,519.0,503.0,421.0,307.0,306.0,246.0,99.0,54.0,27.0,8937.0
152,0200703,524.0,519.0,512.0,498.0,645.0,748.0,790.0,679.0,603.0,632.0,578.0,518.0,516.0,456.0,321.0,287.0,275.0,156.0,66.0,17.0,9340.0
153,0200704,523.0,468.0,451.0,510.0,618.0,797.0,872.0,695.0,610.0,527.0,665.0,679.0,678.0,413.0,369.0,376.0,307.0,190.0,74.0,20.0,9842.0
154,0200705,318.0,354.0,378.0,378.0,515.0,552.0,522.0,486.0,448.0,437.0,503.0,496.0,451.0,398.0,372.0,345.0,299.0,203.0,71.0,25.0,7551.0
155,0200706,353.0,359.0,354.0,351.0,481.0,501.0,552.0,501.0,412.0,391.0,456.0,399.0,380.0,336.0,323.0,285.0,264.0,202.0,73.0,22.0,6995.0
156,0200707,444.0,397.0,348.0,391.0,484.0,597.0,654.0,580.0,445.0,443.0,482.0,401.0,444.0,377.0,382.0,386.0,341.0,215.0,94.0,24.0,7929.0
157,0200708,341.0,303.0,301.0,294.0,434.0,547.0,581.0,452.0,376.0,358.0,391.0,408.0,382.0,306.0,279.0,207.0,231.0,128.0,65.0,13.0,6397.0
158,0200709,398.0,365.0,356.0,388.0,523.0,595.0,655.0,579.0,500.0,437.0,459.0,462.0,462.0,389.0,341.0,328.0,263.0,145.0,62.0,20.0,7727.0
159,0200710,289.0,328.0,327.0,362.0,482.0,477.0,523.0,464.0,427.0,455.0,441.0,464.0,531.0,383.0,375.0,344.0,290.0,154.0,57.0,14.0,7187.0
160,0200711,372.0,370.0,350.0,478.0,552.0,652.0,667.0,576.0,470.0,598.0,589.0,529.0,498.0,450.0,369.0,391.0,358.0,223.0,84.0,40.0,8616.0
161,0200712,348.0,354.0,333.0,470.0,449.0,426.0,451.0,453.0,431.0,441.0,442.0,408.0,382.0,325.0,281.0,270.0,232.0,137.0,48.0,11.0,6692.0
162,0200713,488.0,553.0,507.0,566.0,680.0,666.0,726.0,683.0,655.0,659.0,654.0,609.0,596.0,510.0,442.0,354.0,267.0,178.0,68.0,16.0,9877.0
163,0200714,624.0,695.0,636.0,756.0,970.0,801.0,787.0,818.0,647.0,784.0,738.0,637.0,578.0,467.0,374.0,362.0,271.0,192.0,58.0,20.0,11215.0
164,0200715,655.0,635.0,655.0,661.0,766.0,792.0,740.0,698.0,630.0,568.0,601.0,575.0,487.0,498.0,377.0,326.0,254.0,118.0,41.0,8.0,10085.0
165,0200716,409.0,488.0,523.0,593.0,634.0,589.0,566.0,528.0,521.0,474.0,513.0,498.0,432.0,370.0,280.0,229.0,180.0,102.0,35.0,7.0,7971.0
166,0200717,2001.0,1580.0,1593.0,1560.0,2145.0,1945.0,1462.0,1202.0,933.0,622.0,365.0,188.0,109.0,63.0,44.0,19.0,9.0,6.0,1.0,0.0,15847.0
167,0200718,1571.0,1336.0,1226.0,1250.0,1509.0,1346.0,1202.0,926.0,676.0,478.0,367.0,304.0,236.0,145.0,66.0,43.0,16.0,9.0,5.0,0.0,12711.0
168,0200719,907.0,774.0,720.0,758.0,1028.0,932.0,714.0,547.0,456.0,468.0,451.0,350.0,213.0,170.0,107.0,98.0,47.0,19.0,4.0,0.0,8763.0
169,0200720,735.0,761.0,732.0,772.0,914.0,893.0,873.0,856.0,767.0,749.0,736.0,677.0,628.0,544.0,445.0,411.0,308.0,183.0,61.0,18.0,12063.0
170,0200721,511.0,492.0,453.0,458.0,621.0,701.0,859.0,741.0,644.0,603.0,641.0,612.0,569.0,552.0,445.0,385.0,318.0,197.0,81.0,15.0,9898.0
171,0200722,539.0,535.0,496.0,529.0,609.0,787.0,890.0,763.0,654.0,607.0,669.0,606.0,553.0,465.0,362.0,315.0,287.0,143.0,49.0,10.0,9868.0
172,0200723,384.0,364.0,340.0,337.0,483.0,498.0,577.0,611.0,478.0,420.0,422.0,442.0,397.0,327.0,262.0,243.0,244.0,130.0,58.0,15.0,7032.0
173,0200724,588.0,643.0,630.0,675.0,755.0,779.0,837.0,750.0,736.0,681.0,712.0,641.0,546.0,443.0,397.0,356.0,326.0,162.0,58.0,13.0,10728.0
174,0200801,2628.0,2218.0,1830.0,1923.0,2470.0,2306.0,1871.0,1560.0,1055.0,898.0,621.0,482.0,352.0,240.0,178.0,120.0,95.0,31.0,13.0,1.0,20892.0
175,0200802,522.0,584.0,574.0,596.0,534.0,576.0,588.0,534.0,508.0,399.0,407.0,398.0,426.0,351.0,299.0,263.0,219.0,89.0,26.0,3.0,7896.0
176,0200803,1003.0,812.0,845.0,898.0,1112.0,1017.0,833.0,741.0,647.0,545.0,478.0,394.0,318.0,301.0,232.0,215.0,118.0,76.0,15.0,6.0,10606.0
177,0200804,555.0,596.0,549.0,545.0,697.0,658.0,690.0,606.0,520.0,502.0,526.0,522.0,461.0,415.0,381.0,328.0,256.0,120.0,50.0,5.0,8982.0
178,0200805,585.0,559.0,563.0,692.0,682.0,708.0,718.0,609.0,506.0,584.0,578.0,528.0,435.0,447.0,386.0,356.0,248.0,113.0,42.0,7.0,9346.0
179,0200806,624.0,652.0,639.0,696.0,828.0,762.0,703.0,616.0,530.0,527.0,582.0,587.0,546.0,417.0,327.0,270.0,172.0,98.0,34.0,12.0,9622.0
180,0200807,3102.0,2564.0,2436.0,2380.0,2887.0,2619.0,2046.0,1755.0,1431.0,1006.0,757.0,490.0,332.0,207.0,125.0,74.0,32.0,16.0,7.0,2.0,24268.0
181,0200808,512.0,519.0,525.0,572.0,690.0,656.0,653.0,594.0,568.0,560.0,554.0,493.0,485.0,390.0,335.0,324.0,239.0,152.0,56.0,17.0,8894.0
182,0200809,434.0,470.0,472.0,452.0,555.0,554.0,577.0,543.0,480.0,447.0,446.0,447.0,422.0,353.0,328.0,294.0,202.0,110.0,39.0,10.0,7635.0
183,0200810,759.0,883.0,834.0,868.0,790.0,783.0,809.0,815.0,806.0,728.0,649.0,591.0,517.0,511.0,460.0,407.0,284.0,133.0,35.0,9.0,11671.0
184,0200811,651.0,690.0,770.0,850.0,907.0,754.0,768.0,691.0,690.0,710.0,677.0,665.0,597.0,506.0,411.0,339.0,266.0,129.0,31.0,5.0,11107.0
185,0200812,402.0,425.0,379.0,449.0,516.0,450.0,491.0,420.0,421.0,408.0,389.0,364.0,341.0,267.0,257.0,201.0,164.0,81.0,18.0,6.0,6449.0
186,0200813,368.0,387.0,359.0,343.0,433.0,463.0,444.0,397.0,354.0,339.0,321.0,275.0,298.0,231.0,226.0,214.0,159.0,70.0,24.0,8.0,5713.0
187,0200814,1368.0,1210.0,1229.0,1286.0,1413.0,1202.0,1036.0,880.0,795.0,690.0,562.0,477.0,439.0,331.0,278.0,247.0,165.0,73.0,28.0,10.0,13719.0
188,0200815,2263.0,1953.0,1891.0,1856.0,2059.0,1766.0,1507.0,1276.0,1008.0,787.0,597.0,391.0,282.0,191.0,126.0,82.0,50.0,30.0,8.0,2.0,18125.0
189,0200816,788.0,830.0,845.0,835.0,671.0,611.0,688.0,729.0,602.0,436.0,367.0,334.0,436.0,395.0,279.0,202.0,109.0,45.0,20.0,0.0,9222.0
190,0200817,190.0,200.0,187.0,204.0,179.0,197.0,259.0,237.0,203.0,181.0,171.0,129.0,142.0,163.0,167.0,145.0,71.0,49.0,11.0,5.0,3090.0
191,0200901,314.0,356.0,310.0,333.0,390.0,441.0,466.0,471.0,387.0,359.0,374.0,350.0,323.0,302.0,236.0,237.0,202.0,108.0,30.0,10.0,5999.0
192,0200902,586.0,574.0,529.0,543.0,590.0,709.0,835.0,812.0,689.0,568.0,646.0,597.0,545.0,453.0,384.0,381.0,297.0,214.0,61.0,22.0,10035.0
193,0200903,505.0,501.0,484.0,540.0,654.0,667.0,662.0,654.0,603.0,591.0,576.0,545.0,536.0,506.0,347.0,382.0,299.0,180.0,77.0,17.0,9326.0
194,0200904,481.0,542.0,496.0,554.0,556.0,616.0,707.0,669.0,580.0,585.0,554.0,521.0,506.0,512.0,420.0,391.0,255.0,132.0,47.0,10.0,9134.0
195,0200905,563.0,520.0,513.0,567.0,628.0,677.0,783.0,733.0,667.0,606.0,565.0,581.0,503.0,458.0,395.0,354.0,316.0,158.0,41.0,10.0,9638.0
196,0200906,649.0,620.0,596.0,629.0,708.0,780.0,912.0,873.0,715.0,623.0,649.0,644.0,556.0,498.0,417.0,394.0,318.0,174.0,55.0,13.0,10823.0
197,0200907,554.0,589.0,557.0,588.0,685.0,772.0,774.0,697.0,641.0,677.0,656.0,619.0,676.0,524.0,523.0,444.0,399.0,228.0,97.0,21.0,10721.0
198,0200908,666.0,707.0,688.0,743.0,846.0,784.0,854.0,743.0,722.0,682.0,719.0,674.0,631.0,496.0,414.0,410.0,251.0,174.0,55.0,8.0,11267.0
199,0200909,703.0,699.0,635.0,667.0,794.0,814.0,873.0,781.0,683.0,609.0,660.0,670.0,591.0,482.0,421.0,382.0,303.0,195.0,42.0,17.0,11021.0
200,0200910,549.0,542.0,531.0,582.0,603.0,702.0,720.0,622.0,610.0,568.0,576.0,498.0,510.0,421.0,375.0,331.0,285.0,152.0,70.0,21.0,9268.0
201,0200911,768.0,801.0,774.0,779.0,961.0,920.0,887.0,947.0,805.0,826.0,710.0,645.0,655.0,542.0,437.0,407.0,387.0,229.0,74.0,29.0,12583.0
202,0200912,625.0,648.0,620.0,708.0,785.0,726.0,751.0,768.0,670.0,638.0,645.0,562.0,483.0,437.0,387.0,371.0,291.0,167.0,35.0,13.0,10330.0
203,0200913,469.0,448.0,524.0,530.0,601.0,564.0,529.0,510.0,449.0,413.0,390.0,367.0,328.0,308.0,239.0,218.0,182.0,99.0,23.0,7.0,7198.0
204,0200914,1355.0,1297.0,1246.0,1309.0,1389.0,1243.0,1067.0,986.0,837.0,756.0,611.0,495.0,381.0,276.0,213.0,184.0,139.0,48.0,17.0,1.0,13850.0
205,0200915,602.0,635.0,683.0,659.0,704.0,711.0,712.0,678.0,616.0,558.0,549.0,457.0,492.0,417.0,349.0,308.0,216.0,104.0,32.0,11.0,9493.0
206,0200916,702.0,716.0,799.0,713.0,778.0,808.0,809.0,755.0,667.0,593.0,613.0,688.0,625.0,524.0,446.0,373.0,280.0,160.0,55.0,7.0,11111.0
207,0201001,346.0,379.0,345.0,354.0,426.0,440.0,470.0,457.0,424.0,400.0,419.0,417.0,370.0,306.0,306.0,270.0,245.0,113.0,31.0,6.0,6524.0
208,0201002,382.0,365.0,346.0,407.0,482.0,512.0,510.0,486.0,427.0,444.0,481.0,400.0,395.0,328.0,307.0,264.0,212.0,104.0,39.0,4.0,6895.0
209,0201003,369.0,338.0,339.0,364.0,443.0,384.0,447.0,442.0,396.0,441.0,376.0,370.0,349.0,285.0,279.0,290.0,211.0,118.0,24.0,13.0,6278.0
210,0201004,388.0,458.0,447.0,432.0,486.0,514.0,554.0,583.0,499.0,532.0,515.0,425.0,428.0,342.0,304.0,264.0,209.0,118.0,38.0,8.0,7544.0
211,0201005,598.0,682.0,591.0,685.0,717.0,772.0,859.0,833.0,691.0,711.0,721.0,676.0,670.0,523.0,481.0,449.0,352.0,215.0,62.0,13.0,11301.0
212,0201006,574.0,672.0,602.0,652.0,771.0,836.0,839.0,797.0,724.0,756.0,745.0,710.0,646.0,557.0,442.0,422.0,335.0,174.0,55.0,9.0,11318.0
213,0201007,638.0,569.0,548.0,714.0,761.0,847.0,942.0,800.0,624.0,672.0,740.0,703.0,637.0,488.0,427.0,357.0,300.0,169.0,63.0,5.0,11004.0
214,0201008,500.0,498.0,466.0,502.0,618.0,639.0,708.0,622.0,618.0,530.0,595.0,561.0,494.0,416.0,348.0,320.0,271.0,153.0,55.0,5.0,8919.0
215,0201009,533.0,499.0,455.0,508.0,579.0,616.0,706.0,639.0,577.0,511.0,542.0,480.0,440.0,380.0,335.0,286.0,229.0,121.0,57.0,16.0,8509.0
216,0201010,553.0,593.0,603.0,638.0,659.0,695.0,767.0,766.0,672.0,670.0,695.0,595.0,535.0,473.0,415.0,393.0,339.0,211.0,76.0,18.0,10366.0
217,0201011,609.0,595.0,558.0,569.0,757.0,795.0,812.0,717.0,576.0,496.0,560.0,569.0,544.0,396.0,307.0,298.0,244.0,152.0,53.0,13.0,9620.0
218,0201012,413.0,433.0,403.0,405.0,575.0,584.0,588.0,504.0,433.0,483.0,431.0,383.0,386.0,318.0,272.0,221.0,233.0,138.0,63.0,18.0,7284.0
219,0201013,391.0,428.0,454.0,489.0,600.0,632.0,597.0,556.0,500.0,542.0,530.0,539.0,524.0,403.0,359.0,313.0,294.0,231.0,84.0,31.0,8497.0
220,0201014,503.0,512.0,483.0,524.0,590.0,630.0,709.0,653.0,552.0,561.0,546.0,471.0,474.0,412.0,308.0,303.0,209.0,150.0,47.0,16.0,8653.0
221,0201015,354.0,372.0,385.0,474.0,539.0,511.0,509.0,463.0,434.0,455.0,492.0,520.0,389.0,331.0,239.0,226.0,200.0,100.0,35.0,11.0,7039.0
222,0201016,433.0,451.0,424.0,465.0,560.0,573.0,614.0,602.0,488.0,514.0,547.0,468.0,464.0,367.0,330.0,278.0,255.0,138.0,52.0,21.0,8044.0
223,0201017,487.0,487.0,524.0,536.0,615.0,618.0,661.0,583.0,549.0,556.0,542.0,562.0,437.0,331.0,324.0,267.0,237.0,125.0,46.0,13.0,8500.0
224,0201018,509.0,497.0,474.0,538.0,683.0,730.0,731.0,641.0,590.0,602.0,625.0,543.0,507.0,460.0,361.0,361.0,303.0,189.0,63.0,15.0,9422.0
225,0201019,662.0,575.0,539.0,557.0,807.0,911.0,920.0,803.0,593.0,596.0,603.0,575.0,488.0,397.0,367.0,363.0,286.0,184.0,70.0,9.0,10305.0
226,0201101,462.0,487.0,477.0,545.0,631.0,649.0,774.0,706.0,620.0,618.0,600.0,582.0,505.0,464.0,353.0,359.0,336.0,196.0,92.0,33.0,9489.0
227,0201102,456.0,500.0,529.0,585.0,656.0,627.0,628.0,662.0,621.0,644.0,658.0,629.0,566.0,441.0,360.0,359.0,261.0,152.0,44.0,20.0,9398.0
228,0201103,395.0,414.0,467.0,494.0,542.0,554.0,580.0,600.0,535.0,545.0,616.0,543.0,503.0,485.0,417.0,368.0,306.0,212.0,79.0,32.0,8687.0
229,0201104,505.0,507.0,524.0,600.0,676.0,645.0,656.0,664.0,685.0,693.0,660.0,616.0,625.0,516.0,484.0,412.0,409.0,274.0,101.0,26.0,10278.0
230,0201105,378.0,448.0,438.0,484.0,515.0,535.0,561.0,592.0,554.0,565.0,550.0,518.0,480.0,391.0,354.0,336.0,248.0,165.0,48.0,11.0,8171.0
231,0201106,507.0,499.0,453.0,500.0,621.0,704.0,801.0,640.0,567.0,581.0,577.0,528.0,498.0,421.0,399.0,374.0,271.0,162.0,37.0,5.0,9145.0
232,0201107,541.0,570.0,569.0,552.0,836.0,1080.0,1094.0,985.0,760.0,733.0,736.0,652.0,558.0,466.0,357.0,319.0,272.0,172.0,77.0,24.0,11353.0
