Código,Hasta   0.50 personas por cuarto,0.51  -  0.99  personas por cuarto,1.00  -  1.49  personas por cuarto,1.50  -  1.99  personas por cuarto,2.00  -  3.00  personas por cuarto,Más de  3.00 personas por cuarto,Total,CO_FRACC
0200101,23.0,1.0,19.0,4.0,9.0,9.0,65.0,001_1
0200102,312.0,143.0,1155.0,304.0,1396.0,382.0,3692.0,001_2
0200103,317.0,141.0,1350.0,406.0,2206.0,792.0,5212.0,001_3
0200104,1827.0,854.0,1132.0,176.0,217.0,16.0,4222.0,001_4
0200105,1045.0,469.0,573.0,73.0,97.0,12.0,2269.0,001_5
0200106,1571.0,609.0,579.0,46.0,101.0,9.0,2915.0,001_6
0200107,973.0,242.0,783.0,80.0,204.0,13.0,2295.0,001_7
0200108,1476.0,518.0,1109.0,97.0,261.0,16.0,3477.0,001_8
0200109,1125.0,282.0,1231.0,159.0,413.0,55.0,3265.0,001_9
0200110,1250.0,438.0,1256.0,139.0,373.0,42.0,3498.0,001_10
0200111,1194.0,413.0,1472.0,168.0,458.0,45.0,3750.0,001_11
0200112,721.0,196.0,928.0,110.0,370.0,65.0,2390.0,001_12
0200113,792.0,536.0,725.0,95.0,246.0,71.0,2465.0,001_13
0200114,832.0,304.0,833.0,118.0,384.0,103.0,2574.0,001_14
0200115,925.0,355.0,1003.0,150.0,409.0,108.0,2950.0,001_15
0200116,958.0,378.0,1122.0,122.0,407.0,65.0,3052.0,001_16
0200117,973.0,395.0,1161.0,160.0,477.0,86.0,3252.0,001_17
0200118,900.0,422.0,1181.0,140.0,405.0,86.0,3134.0,001_18
0200119,747.0,331.0,906.0,151.0,370.0,60.0,2565.0,001_19
0200120,826.0,373.0,971.0,168.0,378.0,98.0,2814.0,001_20
0200121,787.0,381.0,1025.0,135.0,586.0,103.0,3017.0,001_21
0200122,1063.0,433.0,1120.0,180.0,361.0,52.0,3209.0,001_22
0200123,918.0,452.0,822.0,122.0,214.0,44.0,2572.0,001_23
0200124,576.0,234.0,546.0,84.0,148.0,16.0,1604.0,001_24
0200125,1015.0,414.0,892.0,146.0,261.0,59.0,2787.0,001_25
0200126,746.0,296.0,772.0,129.0,242.0,40.0,2225.0,001_26
0200127,680.0,285.0,972.0,172.0,613.0,144.0,2866.0,001_27
0200128,754.0,378.0,1244.0,198.0,750.0,181.0,3505.0,001_28
0200129,604.0,328.0,974.0,171.0,570.0,180.0,2827.0,001_29
0200201,14.0,13.0,54.0,19.0,36.0,18.0,154.0,002_1
0200202,999.0,386.0,393.0,56.0,83.0,10.0,1927.0,002_2
0200203,1016.0,480.0,591.0,52.0,103.0,10.0,2252.0,002_3
0200204,1444.0,545.0,534.0,70.0,84.0,10.0,2687.0,002_4
0200205,1389.0,550.0,515.0,66.0,109.0,7.0,2636.0,002_5
0200206,1305.0,579.0,632.0,64.0,117.0,10.0,2707.0,002_6
0200207,1493.0,624.0,718.0,85.0,137.0,11.0,3068.0,002_7
0200208,1723.0,707.0,984.0,89.0,177.0,10.0,3690.0,002_8
0200209,1906.0,740.0,1161.0,125.0,181.0,16.0,4129.0,002_9
0200210,1332.0,589.0,1187.0,101.0,181.0,20.0,3410.0,002_10
0200211,1182.0,448.0,820.0,80.0,134.0,12.0,2676.0,002_11
0200212,1444.0,592.0,847.0,96.0,122.0,10.0,3111.0,002_12
0200213,1605.0,585.0,1186.0,131.0,227.0,13.0,3747.0,002_13
0200214,1752.0,778.0,1169.0,98.0,185.0,17.0,3999.0,002_14
0200215,1222.0,576.0,813.0,70.0,157.0,15.0,2853.0,002_15
0200216,1126.0,472.0,690.0,61.0,119.0,9.0,2477.0,002_16
0200217,1591.0,586.0,1193.0,111.0,252.0,16.0,3749.0,002_17
0200218,1227.0,502.0,910.0,88.0,156.0,16.0,2899.0,002_18
0200219,1174.0,509.0,984.0,116.0,187.0,19.0,2989.0,002_19
0200220,1097.0,430.0,969.0,101.0,208.0,14.0,2819.0,002_20
0200221,1184.0,517.0,826.0,95.0,157.0,13.0,2792.0,002_21
0200222,1093.0,417.0,724.0,69.0,113.0,6.0,2422.0,002_22
0200223,1461.0,677.0,800.0,87.0,117.0,12.0,3154.0,002_23
0200224,1188.0,544.0,675.0,77.0,108.0,8.0,2600.0,002_24
0200225,1585.0,559.0,1517.0,182.0,342.0,24.0,4209.0,002_25
0200301,949.0,380.0,1245.0,187.0,537.0,144.0,3442.0,003_1
0200302,1265.0,535.0,1306.0,273.0,465.0,72.0,3916.0,003_2
0200303,1169.0,601.0,979.0,202.0,302.0,44.0,3297.0,003_3
0200304,766.0,379.0,755.0,135.0,240.0,37.0,2312.0,003_4
0200305,772.0,340.0,813.0,99.0,260.0,24.0,2308.0,003_5
0200306,726.0,305.0,695.0,93.0,207.0,31.0,2057.0,003_6
0200307,1040.0,408.0,1082.0,137.0,290.0,34.0,2991.0,003_7
0200308,856.0,363.0,816.0,151.0,230.0,27.0,2443.0,003_8
0200309,958.0,422.0,998.0,209.0,415.0,67.0,3069.0,003_9
0200310,770.0,328.0,819.0,135.0,340.0,69.0,2461.0,003_10
0200311,1056.0,429.0,1011.0,141.0,364.0,42.0,3043.0,003_11
0200312,1103.0,391.0,1187.0,146.0,359.0,42.0,3228.0,003_12
0200313,978.0,439.0,1234.0,178.0,444.0,84.0,3357.0,003_13
0200314,958.0,442.0,1137.0,218.0,494.0,78.0,3327.0,003_14
0200315,1041.0,416.0,1213.0,234.0,402.0,57.0,3363.0,003_15
0200316,894.0,422.0,1094.0,194.0,454.0,87.0,3145.0,003_16
0200317,596.0,390.0,979.0,152.0,537.0,137.0,2791.0,003_17
0200318,838.0,402.0,1033.0,207.0,390.0,61.0,2931.0,003_18
0200319,958.0,511.0,1241.0,203.0,419.0,73.0,3405.0,003_19
0200320,1086.0,481.0,1243.0,193.0,424.0,74.0,3501.0,003_20
0200321,960.0,545.0,1095.0,164.0,335.0,52.0,3151.0,003_21
0200322,715.0,416.0,1048.0,169.0,401.0,53.0,2802.0,003_22
0200323,900.0,519.0,1028.0,208.0,385.0,77.0,3117.0,003_23
0200324,784.0,446.0,927.0,169.0,252.0,50.0,2628.0,003_24
0200325,702.0,418.0,1269.0,211.0,481.0,99.0,3180.0,003_25
0200326,790.0,480.0,1019.0,165.0,329.0,53.0,2836.0,003_26
0200327,663.0,423.0,817.0,174.0,262.0,49.0,2388.0,003_27
0200401,571.0,498.0,1026.0,309.0,437.0,89.0,2930.0,004_1
0200402,590.0,503.0,980.0,225.0,333.0,97.0,2728.0,004_2
0200403,869.0,768.0,1312.0,278.0,349.0,64.0,3640.0,004_3
0200404,816.0,702.0,1199.0,263.0,315.0,57.0,3352.0,004_4
0200405,868.0,668.0,1275.0,293.0,472.0,84.0,3660.0,004_5
0200406,923.0,697.0,1192.0,234.0,268.0,54.0,3368.0,004_6
0200407,1041.0,764.0,1391.0,254.0,417.0,71.0,3938.0,004_7
0200408,812.0,615.0,1201.0,287.0,481.0,97.0,3493.0,004_8
0200409,361.0,293.0,638.0,184.0,269.0,65.0,1810.0,004_9
0200410,400.0,229.0,1044.0,388.0,1175.0,293.0,3529.0,004_10
0200411,685.0,531.0,846.0,191.0,266.0,48.0,2567.0,004_11
0200412,818.0,562.0,981.0,210.0,368.0,79.0,3018.0,004_12
0200413,1022.0,675.0,1025.0,133.0,180.0,30.0,3065.0,004_13
0200414,787.0,431.0,977.0,131.0,379.0,69.0,2774.0,004_14
0200415,1082.0,638.0,1013.0,184.0,181.0,10.0,3108.0,004_15
0200416,808.0,480.0,1393.0,312.0,563.0,83.0,3639.0,004_16
0200417,896.0,555.0,915.0,146.0,257.0,43.0,2812.0,004_17
0200418,10.0,3.0,29.0,1.0,1.0,1.0,45.0,004_18
0200419,587.0,293.0,994.0,312.0,761.0,262.0,3209.0,004_19
0200420,739.0,441.0,1188.0,375.0,699.0,141.0,3583.0,004_20
0200421,545.0,264.0,898.0,323.0,744.0,225.0,2999.0,004_21
0200422,1083.0,722.0,1326.0,239.0,286.0,45.0,3701.0,004_22
0200423,663.0,493.0,1038.0,244.0,430.0,114.0,2982.0,004_23
0200424,299.0,179.0,780.0,311.0,865.0,209.0,2643.0,004_24
0200425,249.0,172.0,826.0,337.0,1047.0,347.0,2978.0,004_25
0200426,86.0,71.0,274.0,152.0,244.0,57.0,884.0,004_26
0200501,1151.0,543.0,1159.0,168.0,249.0,36.0,3306.0,005_1
0200502,1172.0,609.0,1267.0,164.0,319.0,54.0,3585.0,005_2
0200503,1058.0,453.0,1168.0,167.0,373.0,55.0,3274.0,005_3
0200504,1255.0,569.0,1106.0,170.0,237.0,31.0,3368.0,005_4
0200505,1067.0,470.0,970.0,161.0,220.0,15.0,2903.0,005_5
0200506,1378.0,784.0,1090.0,150.0,178.0,27.0,3607.0,005_6
0200507,1107.0,472.0,1075.0,195.0,254.0,37.0,3140.0,005_7
0200508,1234.0,671.0,1179.0,168.0,208.0,19.0,3479.0,005_8
0200509,1146.0,588.0,1090.0,173.0,204.0,16.0,3217.0,005_9
0200510,1270.0,649.0,1195.0,163.0,247.0,20.0,3544.0,005_10
0200511,1204.0,681.0,1347.0,201.0,304.0,40.0,3777.0,005_11
0200512,1236.0,567.0,1001.0,150.0,206.0,30.0,3190.0,005_12
0200513,1206.0,665.0,1045.0,142.0,207.0,22.0,3287.0,005_13
0200514,1307.0,595.0,1312.0,175.0,350.0,37.0,3776.0,005_14
0200515,1096.0,547.0,1291.0,157.0,340.0,51.0,3482.0,005_15
0200516,1072.0,665.0,1357.0,247.0,413.0,55.0,3809.0,005_16
0200517,1083.0,744.0,1273.0,182.0,271.0,30.0,3583.0,005_17
0200518,980.0,670.0,1285.0,212.0,207.0,26.0,3380.0,005_18
0200519,1206.0,699.0,1331.0,236.0,313.0,32.0,3817.0,005_19
0200520,960.0,794.0,1466.0,276.0,412.0,74.0,3982.0,005_20
0200521,898.0,629.0,1120.0,180.0,271.0,51.0,3149.0,005_21
0200522,1049.0,875.0,1539.0,286.0,378.0,64.0,4191.0,005_22
0200601,995.0,701.0,1301.0,209.0,242.0,26.0,3474.0,006_1
0200602,1234.0,854.0,1139.0,165.0,179.0,16.0,3587.0,006_2
0200603,1125.0,773.0,1124.0,161.0,187.0,27.0,3397.0,006_3
0200604,1146.0,757.0,1088.0,169.0,139.0,22.0,3321.0,006_4
0200605,1377.0,785.0,1379.0,172.0,226.0,16.0,3955.0,006_5
0200606,1383.0,748.0,1220.0,175.0,176.0,19.0,3721.0,006_6
0200607,1467.0,814.0,1333.0,189.0,225.0,31.0,4059.0,006_7
0200608,1205.0,667.0,1271.0,161.0,256.0,24.0,3584.0,006_8
0200609,1257.0,698.0,795.0,101.0,99.0,12.0,2962.0,006_9
0200610,1561.0,653.0,1238.0,176.0,190.0,21.0,3839.0,006_10
0200611,1061.0,653.0,1150.0,160.0,154.0,16.0,3194.0,006_11
0200612,1238.0,621.0,1164.0,169.0,211.0,19.0,3422.0,006_12
0200613,1359.0,906.0,1071.0,118.0,145.0,13.0,3612.0,006_13
0200614,1257.0,870.0,1166.0,144.0,142.0,15.0,3594.0,006_14
0200615,1351.0,795.0,1162.0,139.0,143.0,7.0,3597.0,006_15
0200616,1567.0,1075.0,1340.0,179.0,155.0,17.0,4333.0,006_16
0200617,1222.0,580.0,1039.0,111.0,156.0,19.0,3127.0,006_17
0200618,1525.0,828.0,820.0,98.0,130.0,17.0,3418.0,006_18
0200619,1509.0,789.0,1083.0,143.0,161.0,16.0,3701.0,006_19
0200620,1307.0,703.0,1082.0,123.0,146.0,17.0,3378.0,006_20
0200621,1288.0,857.0,1370.0,179.0,204.0,16.0,3914.0,006_21
0200701,707.0,491.0,970.0,185.0,339.0,63.0,2755.0,007_1
0200702,891.0,700.0,1172.0,168.0,315.0,65.0,3311.0,007_2
0200703,1221.0,790.0,1169.0,212.0,229.0,33.0,3654.0,007_3
0200704,1562.0,889.0,1273.0,206.0,227.0,10.0,4167.0,007_4
0200705,1223.0,656.0,973.0,96.0,195.0,31.0,3174.0,007_5
0200706,895.0,574.0,927.0,136.0,301.0,47.0,2880.0,007_6
0200707,1126.0,595.0,1083.0,173.0,272.0,42.0,3291.0,007_7
0200708,872.0,479.0,981.0,154.0,220.0,33.0,2739.0,007_8
0200709,1075.0,654.0,1160.0,197.0,217.0,20.0,3323.0,007_9
0200710,1153.0,693.0,913.0,114.0,152.0,9.0,3034.0,007_10
0200711,1290.0,779.0,1113.0,134.0,185.0,22.0,3523.0,007_11
0200712,857.0,664.0,805.0,106.0,117.0,6.0,2555.0,007_12
0200713,1270.0,960.0,1097.0,152.0,172.0,19.0,3670.0,007_13
0200714,980.0,973.0,1283.0,218.0,315.0,38.0,3807.0,007_14
0200715,826.0,663.0,1166.0,303.0,348.0,63.0,3369.0,007_15
0200716,706.0,608.0,836.0,200.0,259.0,30.0,2639.0,007_16
0200717,345.0,217.0,1322.0,350.0,2004.0,679.0,4917.0,007_17
0200718,293.0,218.0,945.0,360.0,1278.0,470.0,3564.0,007_18
0200719,293.0,323.0,754.0,271.0,608.0,182.0,2431.0,007_19
0200720,1027.0,867.0,1424.0,328.0,400.0,87.0,4133.0,007_20
0200721,1381.0,897.0,1372.0,191.0,197.0,11.0,4049.0,007_21
0200722,1306.0,929.0,1297.0,194.0,183.0,22.0,3931.0,007_22
0200723,858.0,633.0,947.0,161.0,163.0,9.0,2771.0,007_23
0200724,927.0,863.0,1392.0,257.0,318.0,39.0,3796.0,007_24
0200801,606.0,428.0,1651.0,752.0,2019.0,586.0,6042.0,008_1
0200802,745.0,606.0,809.0,237.0,150.0,11.0,2558.0,008_2
0200803,473.0,457.0,1043.0,338.0,720.0,217.0,3248.0,008_3
0200804,673.0,676.0,1058.0,266.0,285.0,41.0,2999.0,008_4
0200805,868.0,747.0,1119.0,241.0,203.0,24.0,3202.0,008_5
0200806,653.0,571.0,1150.0,305.0,398.0,52.0,3129.0,008_6
0200807,496.0,433.0,1718.0,715.0,2401.0,939.0,6702.0,008_7
0200808,822.0,719.0,1055.0,236.0,203.0,24.0,3059.0,008_8
0200809,591.0,626.0,976.0,218.0,182.0,26.0,2619.0,008_9
0200810,948.0,952.0,1367.0,364.0,245.0,22.0,3898.0,008_10
0200811,896.0,850.0,1344.0,387.0,278.0,22.0,3777.0,008_11
0200812,525.0,435.0,789.0,171.0,212.0,31.0,2163.0,008_12
0200813,365.0,376.0,676.0,171.0,245.0,35.0,1868.0,008_13
0200814,560.0,446.0,1268.0,444.0,987.0,292.0,3997.0,008_14
0200815,384.0,347.0,1385.0,597.0,1718.0,609.0,5040.0,008_15
0200816,659.0,571.0,870.0,314.0,239.0,16.0,2669.0,008_16
0200817,344.0,261.0,426.0,97.0,101.0,5.0,1234.0,008_17
0200901,714.0,464.0,842.0,177.0,175.0,12.0,2384.0,009_1
0200902,1105.0,858.0,1449.0,243.0,180.0,14.0,3849.0,009_2
0200903,1155.0,862.0,1066.0,199.0,203.0,38.0,3523.0,009_3
0200904,944.0,793.0,1263.0,211.0,167.0,13.0,3391.0,009_4
0200905,996.0,780.0,1268.0,217.0,188.0,18.0,3467.0,009_5
0200906,1010.0,884.0,1516.0,265.0,307.0,38.0,4020.0,009_6
0200907,1010.0,982.0,1411.0,231.0,227.0,14.0,3875.0,009_7
0200908,985.0,790.0,1481.0,319.0,336.0,33.0,3944.0,009_8
0200909,1020.0,913.0,1407.0,258.0,224.0,26.0,3848.0,009_9
0200910,983.0,763.0,1130.0,246.0,188.0,27.0,3337.0,009_10
0200911,1116.0,995.0,1464.0,278.0,311.0,66.0,4230.0,009_11
0200912,863.0,727.0,1264.0,282.0,313.0,34.0,3483.0,009_12
0200913,528.0,480.0,805.0,199.0,261.0,59.0,2332.0,009_13
0200914,490.0,421.0,1144.0,483.0,970.0,333.0,3841.0,009_14
0200915,716.0,604.0,1196.0,285.0,345.0,42.0,3188.0,009_15
0200916,938.0,815.0,1321.0,346.0,322.0,41.0,3783.0,009_16
0201001,658.0,618.0,864.0,145.0,118.0,13.0,2416.0,010_1
0201002,689.0,683.0,913.0,123.0,92.0,4.0,2504.0,010_2
0201003,758.0,630.0,693.0,107.0,74.0,8.0,2270.0,010_3
0201004,780.0,710.0,975.0,157.0,126.0,3.0,2751.0,010_4
0201005,1092.0,952.0,1523.0,281.0,256.0,39.0,4143.0,010_5
0201006,1178.0,985.0,1541.0,259.0,196.0,20.0,4179.0,010_6
0201007,1159.0,879.0,1491.0,255.0,236.0,21.0,4041.0,010_7
0201008,923.0,759.0,1153.0,176.0,176.0,22.0,3209.0,010_8
0201009,814.0,695.0,1081.0,192.0,207.0,19.0,3008.0,010_9
0201010,1019.0,1002.0,1227.0,212.0,199.0,25.0,3684.0,010_10
0201011,979.0,714.0,1288.0,241.0,344.0,57.0,3623.0,010_11
0201012,776.0,555.0,963.0,175.0,268.0,38.0,2775.0,010_12
0201013,963.0,748.0,1071.0,200.0,182.0,28.0,3192.0,010_13
0201014,913.0,733.0,1091.0,217.0,231.0,38.0,3223.0,010_14
0201015,805.0,584.0,926.0,154.0,161.0,34.0,2664.0,010_15
0201016,883.0,734.0,997.0,166.0,180.0,28.0,2988.0,010_16
0201017,976.0,703.0,1075.0,187.0,165.0,35.0,3141.0,010_17
0201018,1082.0,745.0,1203.0,216.0,277.0,36.0,3559.0,010_18
0201019,1113.0,760.0,1419.0,264.0,455.0,72.0,4083.0,010_19
0201101,1167.0,844.0,1245.0,168.0,152.0,8.0,3584.0,011_1
0201102,1136.0,958.0,1078.0,133.0,120.0,6.0,3431.0,011_2
0201103,1217.0,929.0,911.0,114.0,77.0,11.0,3259.0,011_3
0201104,1429.0,1057.0,1079.0,132.0,89.0,4.0,3790.0,011_4
0201105,942.0,799.0,1034.0,131.0,122.0,6.0,3034.0,011_5
0201106,938.0,827.0,1278.0,204.0,168.0,22.0,3437.0,011_6
0201107,971.0,938.0,1234.0,180.0,165.0,12.0,3500.0,011_7
0201108,991.0,731.0,950.0,156.0,104.0,1.0,2933.0,011_8
0201109,1253.0,816.0,1204.0,182.0,152.0,6.0,3613.0,011_9
0201110,1162.0,812.0,1165.0,190.0,206.0,8.0,3543.0,011_10
0201111,741.0,670.0,966.0,165.0,119.0,15.0,2676.0,011_11
0201112,839.0,644.0,965.0,122.0,120.0,8.0,2698.0,011_12
0201113,1351.0,846.0,1194.0,154.0,139.0,18.0,3702.0,011_13
0201114,887.0,698.0,941.0,145.0,98.0,4.0,2773.0,011_14
0201115,1136.0,941.0,1303.0,212.0,180.0,22.0,3794.0,011_15
0201116,858.0,704.0,1114.0,179.0,176.0,24.0,3055.0,011_16
0201117,695.0,601.0,956.0,152.0,163.0,27.0,2594.0,011_17
0201118,819.0,653.0,1145.0,189.0,238.0,31.0,3075.0,011_18
0201119,778.0,594.0,972.0,199.0,209.0,24.0,2776.0,011_19
0201120,923.0,743.0,1099.0,174.0,210.0,38.0,3187.0,011_20
0201121,1007.0,633.0,1311.0,243.0,278.0,49.0,3521.0,011_21
0201122,1035.0,726.0,1259.0,202.0,219.0,44.0,3485.0,011_22
0201201,995.0,813.0,940.0,127.0,131.0,17.0,3023.0,012_1
0201202,871.0,682.0,995.0,166.0,143.0,12.0,2869.0,012_2
0201203,875.0,754.0,984.0,217.0,216.0,37.0,3083.0,012_3
0201204,982.0,756.0,991.0,188.0,155.0,6.0,3078.0,012_4
0201205,1215.0,767.0,1311.0,157.0,178.0,11.0,3639.0,012_5
0201206,1069.0,747.0,1116.0,199.0,150.0,3.0,3284.0,012_6
0201207,1144.0,858.0,1256.0,176.0,198.0,16.0,3648.0,012_7
0201208,1308.0,826.0,1331.0,179.0,173.0,14.0,3831.0,012_8
0201209,666.0,641.0,977.0,152.0,128.0,6.0,2570.0,012_9
0201210,1135.0,828.0,1308.0,200.0,207.0,20.0,3698.0,012_10
0201211,1179.0,763.0,1034.0,172.0,239.0,39.0,3426.0,012_11
0201212,884.0,613.0,1072.0,149.0,155.0,6.0,2879.0,012_12
0201213,1075.0,599.0,1111.0,170.0,189.0,18.0,3162.0,012_13
0201214,1422.0,840.0,1298.0,156.0,163.0,14.0,3893.0,012_14
0201215,1542.0,1027.0,1661.0,215.0,206.0,11.0,4662.0,012_15
0201216,1691.0,1064.0,2121.0,263.0,332.0,17.0,5488.0,012_16
0201217,919.0,714.0,1179.0,186.0,151.0,6.0,3155.0,012_17
0201218,1131.0,972.0,1416.0,250.0,220.0,22.0,4011.0,012_18
0201219,1281.0,1121.0,1488.0,257.0,195.0,11.0,4353.0,012_19
0201220,964.0,713.0,1147.0,160.0,185.0,9.0,3178.0,012_20
0201221,986.0,819.0,1342.0,187.0,205.0,11.0,3550.0,012_21
0201222,1212.0,993.0,1475.0,213.0,164.0,10.0,4067.0,012_22
0201301,1647.0,948.0,1237.0,138.0,125.0,7.0,4102.0,013_1
0201302,1464.0,864.0,1278.0,150.0,147.0,9.0,3912.0,013_2
0201303,1208.0,748.0,1123.0,152.0,142.0,13.0,3386.0,013_3
0201304,1857.0,924.0,1691.0,193.0,241.0,18.0,4924.0,013_4
0201305,1167.0,695.0,1092.0,141.0,187.0,13.0,3295.0,013_5
0201306,1077.0,675.0,993.0,118.0,187.0,31.0,3081.0,013_6
0201307,1161.0,718.0,1015.0,148.0,128.0,8.0,3178.0,013_7
0201308,1292.0,750.0,1155.0,151.0,188.0,20.0,3556.0,013_8
0201309,1289.0,730.0,921.0,109.0,124.0,7.0,3180.0,013_9
0201310,1505.0,780.0,1402.0,158.0,251.0,23.0,4119.0,013_10
0201311,682.0,556.0,412.0,53.0,57.0,3.0,1763.0,013_11
0201312,1112.0,732.0,888.0,77.0,84.0,7.0,2900.0,013_12
0201313,2033.0,1029.0,1083.0,150.0,129.0,11.0,4435.0,013_13
0201314,1441.0,752.0,634.0,71.0,76.0,13.0,2987.0,013_14
0201315,1769.0,788.0,1219.0,156.0,177.0,20.0,4129.0,013_15
0201316,1714.0,814.0,1369.0,171.0,230.0,22.0,4320.0,013_16
0201317,1571.0,929.0,1216.0,140.0,168.0,15.0,4039.0,013_17
0201318,1268.0,799.0,849.0,101.0,95.0,11.0,3123.0,013_18
0201319,1553.0,840.0,930.0,85.0,109.0,14.0,3531.0,013_19
0201320,1629.0,779.0,1084.0,108.0,137.0,15.0,3752.0,013_20
0201321,1497.0,796.0,613.0,61.0,71.0,7.0,3045.0,013_21
0201322,1394.0,747.0,566.0,68.0,77.0,6.0,2858.0,013_22
0201323,1810.0,831.0,1157.0,139.0,157.0,15.0,4109.0,013_23
0201324,1176.0,792.0,897.0,79.0,114.0,13.0,3071.0,013_24
0201325,955.0,607.0,808.0,83.0,108.0,4.0,2565.0,013_25
0201326,1158.0,666.0,1094.0,141.0,172.0,21.0,3252.0,013_26
0201327,1456.0,745.0,1007.0,110.0,175.0,20.0,3513.0,013_27
0201328,1185.0,667.0,872.0,101.0,180.0,14.0,3019.0,013_28
0201329,1095.0,708.0,1167.0,149.0,228.0,15.0,3362.0,013_29
0201401,1701.0,983.0,840.0,110.0,133.0,17.0,3784.0,014_1
0201402,1669.0,852.0,873.0,94.0,127.0,11.0,3626.0,014_2
0201403,1903.0,879.0,1131.0,124.0,174.0,10.0,4221.0,014_3
0201404,1754.0,832.0,1184.0,109.0,134.0,13.0,4026.0,014_4
0201405,1302.0,806.0,1236.0,149.0,175.0,13.0,3681.0,014_5
0201406,1357.0,686.0,1319.0,127.0,258.0,32.0,3779.0,014_6
0201407,840.0,599.0,953.0,158.0,218.0,24.0,2792.0,014_7
0201408,1116.0,582.0,1026.0,120.0,235.0,25.0,3104.0,014_8
0201409,1924.0,1035.0,1587.0,170.0,258.0,18.0,4992.0,014_9
0201410,0.0,0.0,1.0,1.0,4.0,0.0,6.0,014_10
0201411,2008.0,872.0,1416.0,129.0,275.0,24.0,4724.0,014_11
0201412,1161.0,503.0,1076.0,138.0,297.0,40.0,3215.0,014_12
0201413,1270.0,552.0,1106.0,144.0,271.0,24.0,3367.0,014_13
0201414,1406.0,637.0,1224.0,127.0,204.0,18.0,3616.0,014_14
0201415,1452.0,669.0,1064.0,118.0,201.0,12.0,3516.0,014_15
0201416,1240.0,646.0,589.0,76.0,102.0,10.0,2663.0,014_16
0201417,1376.0,664.0,620.0,66.0,89.0,14.0,2829.0,014_17
0201418,1480.0,707.0,748.0,84.0,95.0,13.0,3127.0,014_18
0201419,1206.0,454.0,763.0,91.0,110.0,7.0,2631.0,014_19
0201420,1288.0,515.0,877.0,107.0,132.0,8.0,2927.0,014_20
0201421,1066.0,537.0,956.0,124.0,226.0,30.0,2939.0,014_21
0201422,1347.0,676.0,1175.0,158.0,218.0,10.0,3584.0,014_22
0201423,1429.0,634.0,1447.0,141.0,319.0,23.0,3993.0,014_23
0201424,1047.0,495.0,915.0,82.0,176.0,22.0,2737.0,014_24
0201425,1172.0,472.0,968.0,90.0,170.0,14.0,2886.0,014_25
0201426,1455.0,663.0,939.0,84.0,146.0,7.0,3294.0,014_26
0201427,1218.0,528.0,810.0,69.0,148.0,9.0,2782.0,014_27
0201428,1754.0,865.0,942.0,103.0,113.0,13.0,3790.0,014_28
0201429,1466.0,611.0,1124.0,112.0,210.0,19.0,3542.0,014_29
0201430,1699.0,864.0,763.0,100.0,105.0,6.0,3537.0,014_30
0201431,1690.0,756.0,592.0,70.0,92.0,8.0,3208.0,014_31
0201501,1049.0,901.0,1232.0,200.0,149.0,11.0,3542.0,015_1
0201502,810.0,668.0,812.0,134.0,88.0,4.0,2516.0,015_2
0201503,1388.0,995.0,1284.0,220.0,244.0,33.0,4164.0,015_3
0201504,1228.0,850.0,1409.0,260.0,327.0,47.0,4121.0,015_4
0201505,1165.0,977.0,1341.0,235.0,216.0,16.0,3950.0,015_5
0201506,596.0,454.0,526.0,84.0,79.0,3.0,1742.0,015_6
0201507,893.0,754.0,1266.0,260.0,355.0,94.0,3622.0,015_7
0201508,876.0,631.0,1199.0,253.0,315.0,42.0,3316.0,015_8
0201509,596.0,372.0,745.0,186.0,375.0,105.0,2379.0,015_9
0201510,1363.0,752.0,1418.0,234.0,346.0,50.0,4163.0,015_10
0201511,1300.0,783.0,1472.0,251.0,391.0,48.0,4245.0,015_11
0201512,784.0,420.0,946.0,168.0,325.0,44.0,2687.0,015_12
0201513,979.0,527.0,957.0,141.0,193.0,19.0,2816.0,015_13
0201514,1116.0,686.0,1419.0,200.0,320.0,39.0,3780.0,015_14
0201515,940.0,663.0,1159.0,228.0,318.0,45.0,3353.0,015_15
0201516,1042.0,753.0,1309.0,199.0,229.0,35.0,3567.0,015_16
0201517,1359.0,765.0,1228.0,240.0,267.0,38.0,3897.0,015_17
0201518,1102.0,706.0,1066.0,142.0,171.0,15.0,3202.0,015_18
0201519,1333.0,687.0,1308.0,172.0,170.0,18.0,3688.0,015_19
0201520,1338.0,708.0,1256.0,168.0,220.0,29.0,3719.0,015_20
0201521,1356.0,669.0,1458.0,189.0,280.0,44.0,3996.0,015_21
