Unnamed: 0,empleo,desocup,inact,ocup_viv,0_14,15_64,mas_65,hab,con_satisf,con_basica,con_insuf,serv_satisf,serv_basica,serv_insuf,nbi,hac-149,hac+150,hospitales,educ_priv,educ_pub,hab_km2,d_subte,d_metrobus,d_ffcc,escolaridad,educ_sup,compu,nse_mex,nse_mex_cat,reach_area,COMERCIAL,INDUSTRIAL,SERVICIOS,OTROS,esp_verde,nse_alt,RESIDENCIAL,reach_prop,COMUNAS,AREA,area_km2,DECIL
02001,0.660939967271,0.0454289126252,0.230966667624,0.59921542238,0.154119269887,0.70442380735,0.141456922763,205886.0,0.754696273609,0.135260336907,0.110043389484,0.949451250638,0.00729964267483,0.0432491066871,0.15898328361,0.762264999763,0.237735000237,0.0,107.0,95.0,11566.4097414,533.711557763,702.784400389,992.071054346,0.931009648969,0.300060334339,0.603036834648,0.7142330943,3.88868111479,40.4865737002,0.14043736749,0.00720261493828,0.327056650028,0.267158866017,0.169683013146,3.60524270713,0.229715072177,0.198696640904,1,17800337.7542,17.8003377542,7.49506523027
02002,0.674581939799,0.0375931453168,0.270639721056,0.656395009586,0.110186662614,0.691848390447,0.197964946939,157932.0,0.918892604665,0.0703269412578,0.0107804540772,0.991731222396,0.00146749636654,0.00680128123721,0.0204631199081,0.913786975778,0.0862130242222,3.0,56.0,26.0,25079.6484448,558.093943675,1700.91841603,1482.90679328,0.97339492769,0.515734576895,0.793015929911,1.00446189329,5.69686320695,31.3183899062,0.149429270816,0.00720660336188,0.294118727333,0.176887318843,0.0678293529487,1.97814249171,0.372358079646,0.153701790597,2,6297217.45692,6.29721745692,9.95109287541
02003,0.697067770565,0.0428383185056,0.251149371217,0.747372999476,0.149847763375,0.690034499859,0.160117736767,187537.0,0.856028040474,0.100006613319,0.0439653462073,0.981376893063,0.00290986045896,0.0157132464784,0.118773993962,0.795226676937,0.204773323063,2.0,75.0,76.0,29371.4191448,312.062250849,1453.79934797,1056.00866623,0.947464170266,0.251481917051,0.644690373093,0.705663506834,3.87318769096,45.5844732771,0.219578361298,0.0101906135069,0.222084995174,0.110701948515,0.00934576146763,3.37003897897,0.437444081507,0.223715688677,3,6385016.64068,6.38501664068,8.18652319276
02004,0.679358601259,0.0545237442112,0.287690292061,0.840267226202,0.209613049554,0.661540928773,0.128846021673,218245.0,0.728659586682,0.183395522388,0.08794489093,0.948177382319,0.01651836969,0.0353042479908,0.126584265254,0.727460597737,0.272539402263,13.0,47.0,122.0,10082.499863,1424.52385501,1161.31564545,1129.35438243,0.93672553116,0.130159525448,0.539208515622,0.544628920323,2.86766707141,37.0655319061,0.055265769058,0.0112949100505,0.192521759811,0.145320660277,0.070125751607,4.12227542441,0.559249468512,0.181907136365,4,21645921.4446,21.6459214446,6.05237233384
02005,0.704394132445,0.0399073785457,0.254872749845,0.789498652291,0.145023882014,0.682913885087,0.172062232899,179005.0,0.883647884631,0.0920438095758,0.024308305793,0.986821620736,0.00281320842324,0.010365170841,0.060536657731,0.855477188143,0.144522811857,1.0,70.0,50.0,26881.4308562,418.822356072,1842.0788922,1566.30958288,0.965004854626,0.305015646845,0.706573889501,0.787876832039,4.34660484344,44.5794082172,0.113326307125,0.00965889519219,0.14772671549,0.0746468385914,0.00327478722212,3.18750314237,0.654641243602,0.218783113923,5,6659057.73236,6.65905773236,8.97536940309
02006,0.698933351,0.0351295981269,0.265509473963,0.781231256962,0.14275653695,0.673981689725,0.183261773325,176076.0,0.922020235255,0.0691645416907,0.00881522305393,0.993090400592,0.00187820460092,0.00503139480683,0.0220244982644,0.903004428839,0.0969955711607,4.0,68.0,40.0,25700.4770331,605.45839418,1940.89911261,957.341505438,0.97405035001,0.380951097929,0.756009715901,0.878267945375,4.86714259751,43.4483036306,0.111592573573,0.0154670028838,0.149711850997,0.0743598422868,0.0369005688646,3.00195370181,0.648868730259,0.213231972858,6,6851079.05871,6.85107905871,9.66896680979
02007,0.675494732148,0.046098257933,0.288315959641,0.815840035746,0.186775525747,0.656354973684,0.156869500569,220591.0,0.82623161815,0.12721472191,0.0465536599392,0.978763315716,0.00685981871457,0.0143768655695,0.0863983898482,0.804744547943,0.195255452057,2.0,70.0,67.0,17750.0369819,762.15912579,1500.32521683,1292.94309021,0.944037572858,0.217244911584,0.608727214431,0.656234178441,3.55246134248,36.0842592689,0.0891972642663,0.00737384805928,0.132595441087,0.13415937612,0.0704666303965,3.6745560789,0.617852909247,0.177091328086,7,12427636.079,12.427636079,7.42832663164
02008,0.650438558898,0.0655406306759,0.324283591897,0.878180472037,0.252263174479,0.644012668436,0.103724157084,187237.0,0.635109292427,0.255906726162,0.108983981411,0.936892105858,0.0177870082869,0.0453208858547,0.113085011339,0.666844203148,0.333155796852,1.0,24.0,83.0,8442.43925978,3622.16547867,964.628665453,1147.20055341,0.909462218526,0.0583277451592,0.432512201922,0.418852017607,2.1187372154,26.6034830991,0.0430093994137,0.00411024936138,0.161650389534,0.325605004772,0.279064814299,4.77655057494,0.4450686743,0.130562362903,8,22178068.9489,22.1780689489,4.56787921191
02009,0.649521767559,0.0520107417107,0.317480954336,0.826805849468,0.187092467722,0.647910653473,0.164996878805,161797.0,0.831859421259,0.143080890077,0.0250596886639,0.979677203705,0.00741094451342,0.0129118517811,0.0415080980618,0.827170546066,0.172829453934,1.0,38.0,69.0,9802.31451493,3455.71378071,1983.82174324,1708.56915145,0.939137784851,0.138128061333,0.602444723622,0.591464847088,3.11097239133,36.2645042892,0.0667133692743,0.00841617042664,0.132505354184,0.0963777204495,0.0743220398367,3.56570888212,0.694715876457,0.177975919613,9,16505999.6548,16.5059996548,7.21258737801
02010,0.668518906576,0.0453602715838,0.296926823276,0.815011456994,0.166429750274,0.658334437605,0.175235812121,166022.0,0.884454501817,0.101916615237,0.0136288829459,0.989096893643,0.00425152574916,0.00665158060756,0.0349698143297,0.86640196573,0.13359803427,2.0,39.0,62.0,13117.0856959,2950.52561226,911.852750446,1090.15517185,0.959610362105,0.209559787156,0.674632205823,0.694207315291,3.8208430208,35.1743913687,0.0779451109543,0.00587363907392,0.105581361478,0.0693555611155,0.017134217582,3.22465697317,0.741244327378,0.172625954039,10,12656927.2968,12.6569272968,8.33304622279
02011,0.670512836592,0.04044655437,0.289735743042,0.811019622205,0.159962493152,0.660141598887,0.179895907961,189832.0,0.898458894133,0.0921021965857,0.00943890928159,0.99040086232,0.00317543552992,0.00642370214997,0.0202071088721,0.893394906241,0.106605093759,2.0,60.0,59.0,13444.8137639,2981.34140313,1891.40518068,1031.15609651,0.967528961612,0.258854330064,0.715411148419,0.758661660689,4.16503013191,28.8005615237,0.0651894637952,0.00564208197941,0.100304212429,0.0575924970455,0.0173182494985,3.06034809726,0.771271744751,0.14134500176,11,14119347.6781,14.1193476781,8.90349888322
02012,0.693629995195,0.0394055892355,0.278686968746,0.802866961428,0.157553618901,0.669241839733,0.173204541366,200116.0,0.891792786186,0.0998466564438,0.00836055737049,0.991239415961,0.00356023734916,0.00520034668978,0.0169961933619,0.89130074987,0.10869925013,1.0,67.0,56.0,12854.6433235,1322.2860127,2642.5013238,670.614228912,0.970183506454,0.30623343411,0.739393436361,0.810349778741,4.42395410662,31.5765598047,0.0537444605959,0.00449283932297,0.0904021893441,0.0839132820111,0.0806071809547,3.07250294829,0.760724681441,0.154968815364,12,15567604.2473,15.5676042473,9.16533410622
02013,0.703988965406,0.0329905889349,0.265877330756,0.753912969691,0.141282404866,0.670403015592,0.188314579542,231331.0,0.921458682929,0.071491425531,0.00704989154013,0.99464863095,0.00134040027831,0.00401096877174,0.0187153005791,0.918810817265,0.0811891827354,1.0,110.0,44.0,15876.9569169,737.006886943,1029.87823651,577.852336743,0.9773321995,0.465946480763,0.794128633128,0.967698025548,5.39474173371,25.873058756,0.077864274344,0.00723695521967,0.261700287046,0.156336834172,0.194801563479,2.55560214584,0.496298838362,0.126977647029,13,14570235.4179,14.5702354179,9.92813760369
02014,0.708396931081,0.0351415192077,0.252825768371,0.704932659217,0.127304509448,0.693211488251,0.179484002301,225970.0,0.910519125683,0.0799582127933,0.00952266152363,0.992637013822,0.00170765027322,0.00565533590485,0.0235430148273,0.909792261801,0.0902077381993,1.0,91.0,45.0,14325.8599222,592.543192021,1228.58236896,931.414518438,0.97222725285,0.500711859702,0.804575116616,1.00029318466,5.6170597867,32.7071370932,0.088187433566,0.00455529897041,0.162716749907,0.186907393898,0.123656218557,2.24645306899,0.341554596015,0.1605173686,14,15773573.1905,15.7735731905,9.88157277515
02015,0.709098828516,0.0392830404721,0.256816320162,0.799677964924,0.157481350028,0.679735340191,0.162783309781,182574.0,0.871047180334,0.107948372517,0.0210044471485,0.983877276085,0.00440369098837,0.0117190329263,0.0428482715794,0.857572621265,0.142427378735,2.0,60.0,61.0,12747.1660394,799.595114899,1365.91071511,890.778229421,0.961490246307,0.282762905563,0.716673783511,0.777018810566,4.27702739711,40.7697945346,0.0970392253125,0.0104321774146,0.169789967304,0.133023934658,0.0933485594469,3.18411712511,0.58971469531,0.200086608571,15,14322712.9415,14.3227129415,8.82111363064
